區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
7,白沙鹽井水淡化廠,106751.48,2618809.36,澎湖縣：(白沙鄉)全鄉(吉貝村除外),赤崁地下水庫
7,七美淨水場含七美鹽井水淡化廠,89686.09,2568376.58,澎湖縣：(七美鄉)全鄉,七美6口深井、七美水庫
7,新威淨水場,213544.51,2537011.89,六龜區新威、新寮、山寮、二坡。,荖濃溪
7,寶來淨水場,219305.77,2556185.10,"高雄市：
(六龜區)寶來、建山、檨子腳、上、下荖濃、新開、新發、獅額頭。
",寶來溪
7,廣興淨水場,206162.64,2535195.88,高雄市：美濃區、但吉祥（一部分）、吉東（一部分）、獅子里尚未供水。,廣興1、2號井
7,甲仙淨水場,208126.88,2553913.88,高雄市：(甲仙區)甲仙、仙林巷、中園、大邱園、田寮巷(又名平埔)、新榮巷(又名田寮)、公館、關山。寶隆淨水場供水轄區改由甲仙淨水場供水。,旗山溪
7,信國淨水場,201976.1820 ,2525470.5620 ,(里港鄉)信國新村、土庫村、定遠新村、精忠新村。,信國深井
7,餉潭淨水場,209754.84,2486672.29,屏東縣：(新埤鄉)餉潭、(來義鄉)望嘉、文樂,餉潭2口深井、來義溪
7,南和淨水場,22267.1699 ,1203831.8699 ,"(來義鄉)南和
(春日鄉)力里、七佳、歸崇",南和深井
7,來義淨水場,223140.8064 ,1203936.7822 ,"屏東縣：
(來義鄉)義林、南復興、北復興、丹林、古樓、新來義永久屋。
(泰武鄉)平和村。",來義深井
7,白沙淨水場,106751.48,2618809.36,"澎湖縣：
(白沙鄉)全鄉(吉貝村除外)",白沙26口深井
7,馬兒淨水場,211685.47,2520921.78,屏東縣：(高樹鄉)全鄉、但舊寮、司馬除外、(三地門鄉)青山、青葉、安坡、馬兒、口社又廣興、賽嘉另由廣興系統供水。,泰山1號井
7,力里淨水場,22267.5899 ,1203832.0999 ,"(來義鄉)南和
(春日鄉)力里、七佳、歸崇",力里深井
7,佳平淨水場,223533.0000 ,1203730.0000 ,(泰武鄉)武潭村、佳平村、吾拉魯滋永久屋。,佳平深井
