fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"134","133",f84ec066-5034-4153-b3a2-0a3b8a59c787,23.05798,120.40655,左鎮橋,D31,"67000260",臺南市,左鎮區,Zuozhen District,D,"67000"
"135","134",1a0b46ed-354d-48e9-a188-6ad84e2d72ba,24.897084,121.262154,快速路與永昌路,H02,"68000030",桃園市,大溪區,Daxi District,H,"68000"
"136","135",bb90e24c-9c5d-416d-9798-35ffd26a4ae9,24.94732,121.227589,英士一街,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"137","136",36e11415-c864-4759-9687-c5df21455791,23.700293,120.318901,108P009褒忠中民村私立三和老人照顧中心,P15,"10009150",雲林縣,褒忠鄉,Baozhong Township,P,"10009"
"138","137",b0093096-04de-438e-b10a-d26f02540648,25.10617,121.73505,源遠路車行地下道,C03,"10017030",基隆市,暖暖區,Nuannuan District,C,"10017"
"139","138",410d3472-8dc8-4d27-8388-dff47ec0aa7c,23.7845352,120.4434083,新豐里_環陞農產行,P04,"10009040",雲林縣,西螺鎮,Xiluo Township,P,"10009"
"140","139",7f0a5ed0-7755-4834-b2b3-c088afd12413,23.54526,120.37671,民雄鄉西昌村,Q05,"10010050",嘉義縣,民雄鄉,Minxueng Township,Q,"10010"
"141","140",b0ea92fc-750a-4ddb-a3c6-7d94b4bfa191,22.97372,120.254478,正義二街中清二街口(淹水站56),D32,"67000270",臺南市,仁德區,Rende District,D,"67000"
"142","141",2f3b0901-5903-40f3-b16e-d74dc0e493c3,23.7527523,120.5120745,埔子村_土地公廟,P09,"10009090",雲林縣,莿桐鄉,Citong Township,P,"10009"
"143","142",629258be-2d24-4e34-81f3-47fe68df5e02,24.945401,121.230818,大牛欄14A,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"144","143",23507665-1a1f-443a-b63d-ba6332532136,24.946044,121.246821,中山東路三段18號,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"145","144",2458d45b-e934-4f9b-93cf-00dcffe2e7ca,22.58751,120.3798,大寮區內坑路淹水感測站,E14,"64000140",高雄市,大寮區,Daliao District,E,"64000"
"146","145",d3b23fbd-f736-4cfd-919f-636d80e8b437,23.704808,120.433872,108P007虎尾安慶里民主十錄,P03,"10009030",雲林縣,虎尾鎮,Huwei Township,P,"10009"
"147","146",cd914097-3cae-4bd9-9824-676d47666549,23.4451431,120.2268678,108Q035朴子崁後里,Q02,"10010020",嘉義縣,朴子市,Puzi City,Q,"10010"
"148","147",28d128c1-ae01-4fbb-956c-42d6021faffe,24.99905,121.317709,鎮撫路自強路,H01,"68000010",桃園市,桃園區,Taoyuan District,H,"68000"
"149","148",c9064c5b-ac68-4f68-9a7b-03574149fc41,23.758056,120.349167,108P002崙背南陽村崙背國中,P12,"10009120",雲林縣,崙背鄉,Lunbei Township,P,"10009"
"150","149",3f62fb69-25ef-4a8a-89f7-ef1c4f555502,24.985966,121.317951,桃鶯路昆明路,H01,"68000010",桃園市,桃園區,Taoyuan District,H,"68000"
"151","150",da0d2a6b-199d-4c02-8328-6a6ec29417ba,25.0780997,121.4560488,五股區疏洪六路/疏洪一路交叉路口,F03,"65000150",新北市,五股區,Wugu District,F,"65000"
"152","151",29fbfbc2-d583-4d44-9841-07bad751657d,22.7684,120.3121,橋頭區筆秀路淹水感測站,E20,"64000200",高雄市,橋頭區,Qiaotou District,E,"64000"
"153","152",05170b12-009b-4404-8451-cad13acc6990,22.972526,120.252028,中正路28號前(淹水站28),D32,"67000270",臺南市,仁德區,Rende District,D,"67000"
"154","153",2b5a6fc3-73e3-4365-97b1-fcb498e6506e,23.33113,120.16089,布袋鎮新民里,Q03,"10010030",嘉義縣,布袋鎮,Budai Township,Q,"10010"
